,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
357,07/06/2012,"₪1,700,000",אנטיגונוס 5,6212-1042-14,54,דירה בבית קומות 3 שלישית
358,29/05/2012,"₪1,600,000",לואי מרשל 6,6212-609-4,47,דירה בבית קומות 1.5 ראשונה
359,15/05/2012,"₪1,600,000",פנקס 3,6212-967-11,48,דירה בבית קומות 2 שניה
360,14/03/2012,"₪1,900,000",פנקס 17,6212-1271-9,80,דירה בבית קומות 3 ראשונה
361,29/02/2012,"₪1,350,000",חוני המעגל 6,6212-991-49,57,דירה בבית קומות 2 שלישית
362,13/02/2012,"₪1,235,000",לואי מרשל 14,6212-605-3,50,דירה בבית קומות 2 שלישית
363,12/02/2012,"₪1,700,000",יעקב דה-האז 5,6212-564-2,68,דירה בבית קומות 2 שניה
364,07/02/2012,"₪1,600,000",יעקב דה-האז 3,6212-539-7,60,דירה בבית קומות 2.5 שלישית
365,26/01/2012,"₪1,450,000",אנטיגונוס 7,6212-600-17,34,דירה בבית קומות 1.5 שלישית
366,24/01/2012,"₪1,390,000",לואי מרשל 20,6212-566-8,31,דירה בבית קומות 1.5 שניה
367,17/01/2012,"₪2,050,000",יעקב דה-האז 14,6212-590-3,76,דירה בבית קומות 3 קרקע
368,28/12/2011,"₪2,100,000",מרים החשמונאית 3,6212-1029-20,62,דירה בבית קומות 3 שניה
369,22/12/2011,"₪800,000",יעקב דה-האז 10,6212-588-1,29,דירה בבית קומות 2 קרקע
370,06/12/2011,"₪519,000",לואי מרשל 7,6212-1276-6,23,חנות  קרקע
371,30/11/2011,"₪2,000,000",לואי מרשל 21,6212-636-6,75,דירה בבית קומות 3 שניה
372,31/08/2011,"₪1,260,000",מרים החשמונאית 13,6212-1016-20,65,דירה בבית קומות 3 קרקע
373,30/08/2011,"₪1,640,000",יהודה המכבי 8,6212-584-15,58,דירה בבית קומות 2 רביעית
374,25/07/2011,"₪1,330,000",לואי מרשל 6,6212-609-3,32,דירה בבית קומות 1.5 קרקע
375,05/07/2011,"₪1,150,000",דה האז 7,6212-563-3,25,דירה בבית קומות 1.5 קרקע
376,14/06/2011,"₪2,295,000",חוני המעגל 7,6212-1043-5,79,דירה בבית קומות 3 ראשונה
377,13/06/2011,"₪1,370,000",פנקס 17,6212-1271-3,31,דירה בבית קומות 1 קרקע
378,05/06/2011,"₪2,045,000",יהודה המכבי 14,6212-545-7,90,דירה בבית קומות 3 שלישית
379,19/05/2011,"₪970,000",חוני המעגל 6,6212-991-27,42,דירה בבית קומות 2 קרקע
380,19/05/2011,"₪1,585,000",לואי מרשל 10,6212-1247-17,45,דירה בבית קומות 2 שניה
381,03/05/2011,"₪2,250,000",מרים החשמונאית 18,6212-987-42,70,דירה בבית קומות 3 שלישית
382,27/04/2011,"₪1,666,000",לואי מרשל 11,6212-1252-2,44,דירה בבית קומות 2 ראשונה
383,14/04/2011,"₪2,100,000",דה האז 3,6212-539-13,58,דירה בבית קומות 3 שניה
384,22/03/2011,"₪2,800,000",לואי מרשל 22,6212-567-6,83,דירה בבית קומות 4 שלישית
385,02/03/2011,"₪1,600,000",פנקס 17,6212-1271-12,46,דירה בבית קומות 2 ראשונה
386,31/12/2010,"₪1,400,000",מרים החשמונאית 18,6212-987-40,70,דירה בבית קומות 4 שלישית
387,22/12/2010,"₪2,125,000",חוני המעגל 9,6212-619-6,78,דירה בבית קומות 3 ראשונה
388,07/12/2010,"₪1,500,000",מרים החשמונאית 5,6212-1030-14,66,דירה בבית קומות 3 -
389,07/11/2010,"₪1,710,000",אבן גבירול 182,6212-972-14,59,דירה בבית קומות 3 שניה
390,04/11/2010,"₪1,870,000",ברנדייס 9,6212-1148-11,78,דירה בבית קומות 3 שלישית
391,04/11/2010,"₪1,420,000",יהודה המכבי 14,6212-545-2,37,דירה בבית קומות 2 ראשונה
392,19/10/2010,"₪1,700,000",פנקס 19,6212-929-17,74,דירה בבית קומות 3 שלישית
393,19/09/2010,"₪3,000,000",ברנדיס 11,6212-568-3,86,דירה בבית קומות 4.5 שניה
394,30/08/2010,"₪1,550,000",ברנדייס 1,6212-959-5,55,דירה בבית קומות 2 שלישית
395,23/08/2010,"₪1,650,000",מרים החשמונאית 22,6212-1192-2,60,דירה בבית קומות 2.5 העמודים
396,29/07/2010,"₪2,600,000",יהודה המכבי 10,6212-541-4,82,קוטג טורי 3 קרקע+ראשונה
397,22/07/2010,"₪1,164,000",מרים החשמונאית 22,6212-1192-5,63,דירה בבית קומות 3 ראשונה
398,05/07/2010,"₪2,015,000",מרים החשמונאית 18,6212-987-27,70,דירה בבית קומות 3 ראשונה
399,16/06/2010,"₪1,615,000",פנקס 15,6212-612-9,47,דירה בבית קומות 2 שלישית
400,30/05/2010,"₪880,000",אריסטובול 6,6212-1150-3,32,דירה בבית קומות 2 ראשונה
401,20/05/2010,"₪1,850,000",יעקב דה-האז 14,6212-590-9,55,דירה בבית קומות 2 שלישית
402,18/05/2010,"₪920,000",פנקס 17,6212-1271-3,31,דירה בבית קומות 1 קרקע
403,16/05/2010,"₪2,275,000",מרים החשמונאית 14,6212-987-18,70,דירה בבית קומות 3 שלישית
404,10/05/2010,"₪1,380,000",פנקס 19,6212-929-1,47,דירה בבית קומות 2 עמודים
405,02/05/2010,"₪300,000",דה האז 24,6212-955-7,51,דירה בבית קומות 2.5 שניה
406,25/04/2010,"₪800,000",אנטיגונוס 9,6212-599-16,33,דירה בבית קומות 1.5 שלישית
407,15/04/2010,"₪5,350,000",אריסטובול 3,6212-550-3,82,דירה בבית קומות 3 -----
408,08/04/2010,"₪1,914,000",מרים החשמונאית 18,6212-987-25,70,דירה בבית קומות 3 ראשונה
409,16/03/2010,"₪1,735,000",דה האז 3,6212-539-16,58,דירה בבית קומות 3 שלישית
410,09/03/2010,"₪1,675,000",לואי מרשל 15,6212-562-8,80,דירה בבית קומות 3 שלישית
411,21/02/2010,"₪1,800,000",פנקס 19,6212-929-10,59,דירה בבית קומות 3 ראשונה
412,21/02/2010,"₪1,730,000",פנקס 25,6212-928-42,61,דירה בבית קומות 3 שלישית
413,17/02/2010,"₪1,230,000",לואי מרשל 20,6212-566-1,31,דירה בבית קומות 2 קרקע
414,18/01/2010,"₪695,000",דה האז 7,6212-563-3,25,דירה בבית קומות 1.5 קרקע
415,07/01/2010,"₪1,740,000",לואי מרשל 8,6212-608-1,55,דירה בבית קומות 2.5 ראשונה
416,18/12/2009,"₪1,220,000",יהודה המכבי 14,6212-545-2,37,דירה בבית קומות 1.5 ראשונה
417,26/11/2009,"₪1,000,000",מרים החשמונאית 5,6212-1030-8,66,דירה בבית קומות 3 -
418,16/11/2009,"₪360,000",אנטיגונוס 7,6212-600-2,36,דירה בבית קומות 2 מרתף
419,24/09/2009,"₪1,200,000",פנקס 11,6212-1260-8,43,דירה בבית קומות 2 קרקע
420,15/09/2009,"₪1,700,000",יעקב דה-האז 16,6212-591-13,53,דירה בבית קומות 3 שלישית
421,31/08/2009,"₪1,550,000",פנקס 19,6212-929-20,59,דירה בבית קומות 3 שלישית
422,30/08/2009,"₪1,350,000",אנטיגונוס 7,6212-600-15,1,דירה בבית קומות 2 שלישית
423,10/08/2009,"₪1,240,000",פנקס 15,6212-612-9,47,דירה בבית קומות 2 שלישית
424,06/08/2009,"₪1,000,000",יעקב דה-האז 16,6212-591-1,61,דירה בבית קומות 3 מרתף
425,04/08/2009,"₪1,949,000",יהודה המכבי 14,6212-545-1,70,דירה בבית קומות 3 ראשונה
426,02/08/2009,"₪1,750,000",לואי מרשל 7,6212-1276-8,57,דירה בבית קומות 3 ראשונה
427,22/06/2009,"₪50,000",פנקס 15,6212-612-15,12,מחסנים  מרתף
428,22/06/2009,"₪1,450,000",יעקב דה-האז 16,6212-591-6,56,דירה בבית קומות 2 ראשונה
429,22/06/2009,"₪1,000,000",פנקס 15,6212-612-14,59,דירה בבית קומות 2 מרתף
430,16/06/2009,"₪2,400,000",חוני המעגל 8,6212-1044-1,78,דירה בבית קומות 3.5 ראשונה
431,31/05/2009,"₪1,200,000",לואי מרשל 11,6212-1252-7,52,דירה בבית קומות 2 שניה
432,25/05/2009,"₪1,460,000",מרים החשמונאית 22,6212-1192-5,63,דירה בבית קומות 3 ראשונה
433,24/05/2009,"₪1,600,000",לואי מרשל 8,6212-608-9,57,דירה בבית קומות 2.5 שלישית
434,12/04/2009,"₪1,300,000",אבן גבירול 176,6212-1015-9,66,דירה בבית קומות 3 ---
435,30/03/2009,"₪1,100,000",ברנדייס 1,6212-959-6,55,דירה בבית קומות 2 שלישית
436,15/03/2009,"₪1,450,000",אריסטובול 10,6212-556-13,68,דירה בבית קומות 3 שלישית
437,11/02/2009,"₪1,113,000",מרים החשמונאית 13,6212-1016-6,66,דירה בבית קומות 3 ------
438,18/12/2008,"₪1,250,000",פנקס 3,6212-967-16,44,דירה בבית קומות 2 שלישית
439,10/12/2008,"₪1,050,000",חוני המעגל 6,6212-991-49,57,דירה בבית קומות 2 שלישית
440,02/12/2008,"₪1,525,000",אריסטובול 10,6212-556-8,80,דירה בבית קומות 3 שניה
441,09/09/2008,"₪2,200,000",מרים החשמונאית 8,6212-988-6,91,דירה בבית קומות 4 ראשונה
442,24/08/2008,"₪1,150,000",אנטיגונוס 9,6212-599-10,33,דירה בבית קומות 2 שניה
443,19/08/2008,"₪935,000",יעקב דה-האז 18,6212-592-4,36,דירה בבית קומות 1.5 קרקע
444,17/08/2008,"₪1,630,000",מרים החשמונאית 22,6212-1192-8,82,דירה בבית קומות 3 שניה
445,06/08/2008,"₪1,115,000",פנקס 3,6212-967-12,44,דירה בבית קומות 2 שניה
446,04/08/2008,"₪990,000",לואי מרשל 10,6212-1247-20,32,דירה בבית קומות 1.5 שניה
447,27/07/2008,"₪1,125,000",לואי מרשל 10,6212-1247-13,32,דירה בבית קומות 2 ראשונה
448,22/07/2008,"₪1,220,000",לואי מרשל 10,6212-1247-23,48,דירה בבית קומות 2 שלישית
449,17/07/2008,"₪1,320,000",דה האז 24,6212-955-8,43,דירה בבית קומות 2 שניה
450,16/07/2008,"₪920,000",לואי מרשל 8,6212-608-2,38,דירה בבית קומות 2 שניה
451,15/07/2008,"₪1,100,000",אנטיגונוס 13,6212-597-9,50,דירה בבית קומות 2 ראשונה
452,07/07/2008,"₪1,000,000",יעקב דה-האז 1,6212-583-16,65,דירה בבית קומות 3 שניה
453,07/07/2008,"₪1,350,000",פנקס 25,6212-928-43,61,דירה בבית קומות 2.5 שניה
454,30/06/2008,"₪1,400,000",חוני המעגל 6,6212-991-11,10,דירה בבית קומות 2.5 ראשונה
455,18/06/2008,"₪1,250,000",יעקב דה-האז 18,6212-592-11,57,דירה בבית קומות 2.5 שלישית
456,22/05/2008,"₪1,175,000",דה האז 26,6212-926-16,50,דירה בבית קומות 2 שלישית
457,18/05/2008,"₪1,218,000",אלעזר החורני 4,6212-640-4,49,דירה בבית קומות 2 ראשונה
458,15/05/2008,"₪900,000",לואי מרשל 20,6212-566-14,45,דירה בבית קומות 2 שלישית
459,30/04/2008,"₪990,000",לואי מרשל 14,6212-605-6,10,דירה בבית קומות 2 ראשונה
460,10/04/2008,"₪2,000,000",יהודה המכבי 10,6212-541-1,82,משרד  קרקע+ראשונה
461,03/04/2008,"₪990,000",פנקס 17,6212-1271-13,47,דירה בבית קומות 2 ראשונה
462,02/04/2008,"₪1,140,000",לואי מרשל 20,6212-566-6,45,דירה בבית קומות 2 ראשונה
463,02/04/2008,"₪1,320,000",אבן גבירול 182,6212-972-22,83,דירה בבית קומות 3 שלישית
464,27/03/2008,"₪1,080,000",חוני המעגל 6,6212-991-63,57,דירה בבית קומות 2 שניה
465,20/03/2008,"₪1,540,000",מרים החשמונאית 14,6212-987-13,71,דירה בבית קומות 3 שניה
466,09/03/2008,"₪989,000",אנטיגונוס 11,6212-598-8,70,דירה בבית קומות 3 שניה
467,06/03/2008,"₪937,000",אבן גבירול 182,6212-972-21,61,דירה בבית קומות 2 שלישית
468,06/03/2008,"₪2,175,000",יעקב דה-האז 20,6212-593-8,70,דירה בבית קומות 3 רביעית
469,05/03/2008,"₪432,000",פנקס 3,6212-967-1,19,חנות  קרקע
470,28/02/2008,"₪1,510,000",פנקס 25,6212-928-44,62,דירה בבית קומות 3 שניה
471,27/02/2008,"₪1,260,000",מרים החשמונאית 3,6212-1029-29,64,דירה בבית קומות 3 שלישית
472,13/02/2008,"₪1,040,000",פנקס 17,6212-1271-21,46,דירה בבית קומות 2 שלישית
473,23/01/2008,"₪1,680,000",חוני המעגל 6,6212-991-7,66,דירה בבית קומות 3 ראשונה
474,21/01/2008,"₪1,296,000",חוני המעגל 10,6212-616-1,56,דירה בבית קומות 3 קרקע
475,16/01/2008,"₪1,270,000",אריסטובול 6,6212-1150-1,43,דירה בבית קומות 2.5 ראשונה
476,13/01/2008,"₪1,400,000",מרים החשמונאית 18,6212-987-31,71,דירה בבית קומות 3 שניה
477,06/12/2007,"₪504,000",אנטיגונוס 3,6212-985-1,50,דירה בבית קומות 2 ראשונה
478,03/12/2007,"₪1,000,000",אנטיגונוס 5,6212-1042-3,48,דירה בבית קומות 2 קרקע
479,19/11/2007,"₪719,000",אנטיגונוס 9,6212-599-1,52,דירה בבית קומות 3 מרתף
480,29/10/2007,"₪1,435,000",פנקס 25,6212-928-45,60,דירה בבית קומות 3 רביעית
481,18/09/2007,"₪2,564,000",יהודה המכבי 12,6212-543-3,150,דירה בבית קומות 6
482,17/09/2007,"₪1,050,000",אלעזר החורני 4,6212-640-3,50,דירה בבית קומות 2 ראשונה
483,31/08/2007,"₪1,092,000",יעקב דה-האז 10,6212-588-8,54,דירה בבית קומות 2 שניה
484,15/08/2007,"₪1,509,000",לואי מרשל 17,6212-638-10,82,דירה בבית קומות 4 שלישית + גג
485,12/08/2007,"₪927,000",לואי מרשל 20,6212-566-13,32,דירה בבית קומות 2 שלישית
486,31/07/2007,"₪900,000",יעקב דה-האז 28,6212-927-9,62,דירה בבית קומות 2 ראשונה
487,25/07/2007,"₪1,004,000",פנקס 15,6212-612-10,46,דירה בבית קומות 2 שלישית
488,18/07/2007,"₪1,949,000",מרים החשמונאית 18,6212-987-39,71,דירה בבית קומות 3 שלישית
489,01/07/2007,"₪2,388,000",אריסטובול 1,6212-548-3,90,קוטג טורי 3 ראשונה ושניה
490,26/06/2007,"₪937,000",חוני המעגל 6,6212-991-14,52,דירה בבית קומות 2 שניה
491,14/06/2007,"₪962,000",יעקב דה-האז 6,6212-1040-1,62,דירה בבית קומות 2 קרקע
492,01/06/2007,"₪1,086,000",מרים החשמונאית 3,6212-1029-25,59,דירה בבית קומות 3 שלישית
493,31/05/2007,"₪777,000",יעקב דה-האז 5,6212-564-8,60,דירה בבית קומות 2 שניה
494,25/05/2007,"₪1,100,000",מרים החשמונאית 22,6212-1192-9,64,דירה בבית קומות 2 שניה
495,21/05/2007,"₪719,000",לואי מרשל 6,6212-609-13,33,דירה בבית קומות 2 שלישית
496,05/05/2007,"₪920,000",פנקס 3,6212-967-12,44,דירה בבית קומות 2 שניה
497,03/05/2007,"₪1,051,000",לואי מרשל 17,6212-638-8,46,דירה בבית קומות 3 שניה
498,21/03/2007,"₪52,000",פנקס 11,6212-1260-3,9,מחסנים  מרתף
499,21/03/2007,"₪828,000",מרים החשמונאית 9,6212-1032-1,66,דירה בבית קומות 3 -----
500,19/03/2007,"₪850,000",חוני המעגל 7,6212-1043-3,45,דירה בבית קומות 2.5 עמודים
501,26/02/2007,"₪1,200,000",מרים החשמונאית 3,6212-1029-23,74,דירה בבית קומות 3 שניה
502,20/02/2007,"₪794,000",אנטיגונוס 13,6212-597-10,45,דירה בבית קומות 2
503,01/02/2007,"₪636,000",אנטיגונוס 7,6212-600-6,33,דירה בבית קומות 2 ראשונה
504,25/01/2007,"₪1,022,000",מרים החשמונאית 15,6212-971-19,62,דירה בבית קומות 2 שלישית
505,08/01/2007,"₪1,182,000",מרים החשמונאית 9,6212-1032-21,80,דירה בבית קומות 3 קרקע
506,28/12/2006,"₪1,430,000",יעקב דה-האז 8,6212-1041-3,69,דירה בבית קומות 3 שניה
507,14/12/2006,"₪1,032,000",מרים החשמונאית 5,6212-1030-16,66,דירה בבית קומות 3 -
508,11/12/2006,"₪1,132,000",אריסטובול 6,6212-1150-6,43,דירה בבית קומות 2 ראשונה
509,11/12/2006,"₪1,325,000",מרים החשמונאית 8,6212-988-5,78,דירה בבית קומות 4 ראשונה
510,10/12/2006,"₪1,036,000",יעקב דה-האז 14,6212-590-5,56,דירה בבית קומות 2 ראשונה
511,05/12/2006,"₪951,000",אנטיגונוס 13,6212-597-11,60,דירה בבית קומות 2 שלישית
512,05/12/2006,"₪1,193,000",יעקב דה-האז 5,6212-564-1,71,דירה בבית קומות 3 שלישית
513,03/12/2006,"₪1,100,000",פנקס 25,6212-928-46,83,דירה בבית קומות 4 שניה
514,15/11/2006,"₪788,000",לואי מרשל 10,6212-1247-7,33,דירה בבית קומות 2 קרקע
515,13/11/2006,"₪901,000",אנטיגונוס 13,6212-597-12,45,דירה בבית קומות 2 שניה
516,09/11/2006,"₪812,000",יהודה המכבי 16,6212-547-10,32,דירה בבית קומות 2 שלישית
517,02/11/2006,"₪2,539,000",אלעזר החורני 8,6212-549-1,105,קוטג טורי 3 ראשונה
518,31/10/2006,"₪2,442,000",מרים החשמונאית 15,6212-971-13,62,דירה בבית קומות 3 שניה
519,15/10/2006,"₪977,000",יעקב דה-האז 5,6212-564-10,78,דירה בבית קומות 3 שלישית
520,25/09/2006,"₪554,000",מרים החשמונאית 18,6212-987-39,71,דירה בבית קומות 3 שלישית
521,23/08/2006,"₪1,719,000",פנקס 11,6212-1260-21,45,דירה בבית קומות 2 שלישית
522,20/08/2006,"₪890,000",פנקס 19,6212-929-1,48,דירה בבית קומות 1.5 עמודים
523,06/08/2006,"₪1,189,000",לואי מרשל 17,6212-638-10,82,דירה בבית קומות 3 שלישית + גג
524,01/08/2006,"₪414,000",אנטיגונוס 3,6212-985-3,70,משרד 0
525,01/08/2006,"₪946,000",דה האז 26,6212-926-10,52,דירה בבית קומות 2.5 שניה
526,14/07/2006,"₪1,699,000",יהודה המכבי 10,6212-541-3,82,קוטג טורי 4 קרקע+ראשונה
527,04/07/2006,"₪734,000",מרים החשמונאית 15,6212-971-16,79,דירה בבית קומות 3 שניה
528,29/06/2006,"₪1,611,000",לואי מרשל 14,6212-605-7,10,דירה בבית קומות 2 שלישית
529,13/06/2006,"₪909,000",פנקס 17,6212-1271-19,47,דירה בבית קומות 2 שניה
530,11/06/2006,"₪582,000",אנטיגונוס 9,6212-599-1,52,משרד  מרתף
531,11/06/2006,"₪1,422,000",מרים החשמונאית 22,6212-1192-6,66,דירה בבית קומות 3 ראשונה
532,06/06/2006,"₪1,229,000",מרים החשמונאית 18,6212-987-27,70,דירה בבית קומות 3 ראשונה
533,31/05/2006,"₪1,174,000",יעקב דה-האז 1,6212-583-14,65,דירה בבית קומות 3 ראשונה
534,30/05/2006,"₪1,083,000",דה האז 24,6212-955-8,46,דירה בבית קומות 2 שניה
535,30/05/2006,"₪858,000",לואי מרשל 10,6212-1247-5,39,דירה בבית קומות 3 קרקע
536,22/05/2006,"₪735,000",יעקב דה-האז 12,6212-589-12,33,דירה בבית קומות 2 שניה
537,17/05/2006,"₪842,000",חוני המעגל 7,6212-1043-10,62,דירה בבית קומות 2 שלישית
538,25/04/2006,"₪905,000",פנקס 3,6212-967-16,44,דירה בבית קומות 2 שלישית
539,23/04/2006,"₪1,199,000",מרים החשמונאית 5,6212-1030-5,66,דירה בבית קומות 3 -
540,17/04/2006,"₪653,000",מרים החשמונאית 5,6212-1030-10,66,דירה בבית קומות 3 -
541,10/04/2006,"₪1,752,000",יעקב דה-האז 8,6212-1041-8,81,דירה בבית קומות 4 רביעית
542,10/04/2006,"₪1,245,000",מרים החשמונאית 14,6212-987-18,71,דירה בבית קומות 3 שלישית
543,05/04/2006,"₪960,000",לואי מרשל 11,6212-1252-10,52,דירה בבית קומות 3 שלישית
544,22/03/2006,"₪886,000",אבן גבירול 176,6212-1015-13,66,דירה בבית קומות 3 ---
545,15/03/2006,"₪2,166,000",מרים החשמונאית 14,6212-987-4,70,דירה בבית קומות 3 ראשונה
546,07/03/2006,"₪734,000",יעקב דה-האז 12,6212-589-15,33,דירה בבית קומות 2 שלישית
547,28/02/2006,"₪1,185,000",אנטיגונוס 3,6212-985-4,60,דירה בבית קומות 2 שניה
548,22/02/2006,"₪1,748,000",יהודה המכבי 10,6212-541-4,82,דירה בבית קומות 3 קרקע+ראשונה
549,08/02/2006,"₪941,000",יעקב דה-האז 5,6212-564-11,60,דירה בבית קומות 2 ראשונה
550,05/02/2006,"₪830,000",חוני המעגל 6,6212-991-28,35,דירה בבית קומות 3 קרקע
551,31/01/2006,"₪939,000",לואי מרשל 17,6212-638-3,46,דירה בבית קומות 2 ראשונה
552,26/01/2006,"₪814,000",יעקב דה-האז 28,6212-927-10,62,דירה בבית קומות 2 ראשונה
553,17/01/2006,"₪902,000",דה האז 24,6212-955-7,51,דירה בבית קומות 2 שניה
554,17/01/2006,"₪2,504,000",מרים החשמונאית 22,6212-1192-5,63,דירה בבית קומות 2 ראשונה
555,10/01/2006,"₪729,000",לואי מרשל 20,6212-566-1,31,דירה בבית קומות 2 קרקע
556,26/12/2005,"₪824,000",יעקב דה-האז 5,6212-564-12,70,דירה בבית קומות 2 שלישית
557,14/12/2005,"₪1,055,000",יעקב דה-האז 14,6212-590-3,76,דירה בבית קומות 3 קרקע
558,08/12/2005,"₪847,000",אבן גבירול 176,6212-1015-14,66,דירה בבית קומות 3 ---
559,01/12/2005,"₪1,631,000",חוני המעגל 6,6212-991-39,52,דירה בבית קומות 2 שניה
560,16/11/2005,"₪1,112,000",חוני המעגל 6,6212-991-29,68,דירה בבית קומות 3 ראשונה
561,11/11/2005,"₪1,556,000",יהודה המכבי 12,6212-543-2,100,דירה בבית קומות 3
562,06/10/2005,"₪1,208,000",מרים החשמונאית 18,6212-987-34,71,דירה בבית קומות 3 שניה
563,29/09/2005,"₪1,202,000",יעקב דה-האז 13,6212-960-14,73,דירה בבית קומות 3 שלישית
564,21/09/2005,"₪640,000",אריסטובול 10,6212-556-2,53,דירה בבית קומות 2 קרקע
565,11/09/2005,"₪965,000",מרים החשמונאית 9,6212-1032-11,66,דירה בבית קומות 3 -------
566,08/09/2005,"₪766,000",אבן גבירול 172,6212-1031-16,66,דירה בבית קומות 3 שלישית
567,07/09/2005,"₪819,000",לואי מרשל 11,6212-1252-9,37,דירה בבית קומות 2 שלישית
568,24/08/2005,"₪943,000",אבן גבירול 182,6212-972-17,83,דירה בבית קומות 3 שלישית
569,22/08/2005,"₪1,170,000",חוני המעגל 6,6212-991-15,58,דירה בבית קומות 3 שניה
570,02/08/2005,"₪967,000",ברנדייס 1,6212-959-2,67,דירה בבית קומות 2 ראשונה
571,31/07/2005,"₪1,113,000",פנקס 19,6212-929-8,59,דירה בבית קומות 3 ראשונה
572,20/07/2005,"₪637,000",אנטיגונוס 7,6212-600-1,34,דירה בבית קומות 2 מרתף
573,19/07/2005,"₪360,000",יעקב דה-האז 14,6212-590-1,25,דירה בבית קומות 2 מרתף
574,17/07/2005,"₪953,000",מרים החשמונאית 15,6212-971-12,79,דירה בבית קומות 3 שניה
575,14/07/2005,"₪834,000",אלעזר החורני 4,6212-640-14,48,דירה בבית קומות 2 שלישית
576,14/07/2005,"₪975,000",מרים החשמונאית 3,6212-1029-24,70,דירה בבית קומות 4 שלישית
577,13/07/2005,"₪1,018,000",מרים החשמונאית 15,6212-971-6,79,דירה בבית קומות 3 ראשונה
578,10/07/2005,"₪960,000",יעקב דה-האז 28,6212-927-11,54,דירה בבית קומות 2 ראשונה
579,07/07/2005,"₪758,000",יהודה המכבי 8,6212-584-15,59,דירה בבית קומות 2 רביעית
580,21/06/2005,"₪838,000",פנקס 17,6212-1271-16,57,דירה בבית קומות 2 שניה
581,17/06/2005,"₪742,000",לואי מרשל 20,6212-566-14,45,דירה בבית קומות 2 שלישית
582,26/05/2005,"₪860,000",אריסטובול 6,6212-1150-11,43,דירה בבית קומות 2 שניה
583,18/05/2005,"₪830,000",פנקס 19,6212-929-13,75,דירה בבית קומות 3 שניה
584,02/05/2005,"₪546,000",פנקס 3,6212-967-16,44,דירה בבית קומות 2 שלישית
585,17/04/2005,"₪1,582,000",חוני המעגל 8,6212-1044-1,78,דירה בבית קומות 4 ראשונה
586,10/04/2005,"₪655,000",יעקב דה-האז 12,6212-589-8,33,דירה בבית קומות 2 ראשונה
587,07/04/2005,"₪1,087,000",מרים החשמונאית 8,6212-988-6,78,דירה בבית קומות 4 ראשונה
588,06/03/2005,"₪817,000",אבן גבירול 172,6212-1031-9,66,דירה בבית קומות 3 שניה
589,03/03/2005,"₪715,000",יעקב דה-האז 28,6212-927-2,58,דירה בבית קומות 2
590,27/02/2005,"₪800,000",מרים החשמונאית 13,6212-1016-15,66,דירה בבית קומות 3 ------
591,20/01/2005,"₪559,000",פנקס 25,6212-928-47,35,דירה בבית קומות 1
592,18/01/2005,"₪811,000",אלעזר החורני 4,6212-640-8,49,דירה בבית קומות 2 שניה
593,09/01/2005,"₪975,000",מרים החשמונאית 9,6212-1032-21,64,דירה בבית קומות 3 קרקע
594,05/01/2005,"₪1,144,000",יעקב דה-האז 16,6212-591-13,53,דירה בבית קומות 3 שלישית
595,28/12/2004,"₪694,000",חוני המעגל 10,6212-616-1,56,דירה בבית קומות 2 קרקע
596,26/09/2004,"₪1,094,000",אריסטובול 10,6212-556-7,68,דירה בבית קומות 3 ראשונה
597,27/08/2004,"₪875,000",אלעזר החורני 4,6212-640-13,48,דירה בבית קומות 2 שלישית
598,25/08/2004,"₪691,000",לואי מרשל 20,6212-566-7,31,דירה בבית קומות 2 ראשונה
599,19/08/2004,"₪1,497,000",מרים החשמונאית 8,6212-988-11,78,דירה בבית קומות 4 שניה
600,16/08/2004,"₪998,000",יעקב דה-האז 10,6212-588-7,48,דירה בבית קומות 2 ראשונה
601,10/08/2004,"₪836,000",לואי מרשל 19,6212-637-11,48,דירה בבית קומות 2 שלישית
602,05/08/2004,"₪1,041,000",אריסטובול 10,6212-556-12,68,דירה בבית קומות 3 שלישית
603,29/07/2004,"₪642,000",יהודה המכבי 14,6212-545-2,37,דירה בבית קומות 2 ראשונה
604,29/07/2004,"₪846,000",מרים החשמונאית 5,6212-1030-5,66,דירה בבית קומות 3 -
605,19/07/2004,"₪767,000",פנקס 11,6212-1260-22,52,דירה בבית קומות 2 שלישית
606,18/07/2004,"₪899,000",דה האז 3,6212-539-13,58,דירה בבית קומות 2.5 שניה
607,18/07/2004,"₪782,000",פנקס 17,6212-1271-4,56,דירה בבית קומות 2 קרקע
608,06/07/2004,"₪775,000",חוני המעגל 10,6212-616-24,62,דירה בבית קומות 2 רביעית
609,01/07/2004,"₪810,000",דה האז 24,6212-955-8,46,דירה בבית קומות 2 שניה
610,30/06/2004,"₪652,000",לואי מרשל 20,6212-566-7,31,דירה בבית קומות 2 ראשונה
611,20/06/2004,"₪720,000",אלעזר החורני 4,6212-640-3,50,דירה בבית קומות 2 ראשונה
612,17/06/2004,"₪697,000",אנטיגונוס 7,6212-600-4,34,דירה בבית קומות 2 קרקע
613,03/06/2004,"₪704,000",מרים החשמונאית 9,6212-1032-21,64,דירה בבית קומות 3 קרקע
614,30/05/2004,"₪815,000",לואי מרשל 14,6212-605-2,53,דירה בבית קומות 2 שניה
615,25/05/2004,"₪525,000",יעקב דה-האז 14,6212-590-2,25,דירה בבית קומות 2 קרקע
616,21/05/2004,"₪872,000",חוני המעגל 6,6212-991-61,68,דירה בבית קומות 3 שניה
