,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
166,04/02/2021,"₪4,848,000",מרים החשמונאית 8,6212-988-10,95,דירה בבית קומות 4 שניה
167,19/01/2021,"₪2,590,000",יעקב דה-האז 12,6212-589-3,47,דירה בבית קומות 2 קרקע
168,13/01/2021,"₪2,494,000",אנטיגונוס 9,6212-599-19,49,דירה בבית קומות 2 קומה ‎4‏
169,07/01/2021,"₪3,670,000",אנטיגונוס 11,6212-598-2,72,דירה בבית קומות 3 שלישית
170,07/01/2021,"₪3,626,439",אנטיגונוס 11,6212-598-3,72,דירה 3
171,07/01/2021,"₪3,675,839",אנטיגונוס 11,6212-598-4,72,דירה 3
172,07/01/2021,"₪3,621,000",אנטיגונוס 13,6212-597-2,72,דירה בבית קומות 3 שלישית
173,06/01/2021,"₪3,500,000",פנקס 25,6212-928-4,60,דירה 2
174,06/01/2021,"₪6,625,000",פנקס 25,6212-928-5,118,דירה 4
175,06/01/2021,"₪6,630,000",פנקס 25,6212-928-39,118,דירה בבית קומות 4 ראשונה
176,06/01/2021,"₪3,250,000",פנקס 25,6212-928-3,60,דירה בבית קומות 2 שמינית
177,15/12/2020,"₪2,708,000",לואי מרשל 7,6212-1276-14,57,דירה בבית קומות 3 שניה
178,23/11/2020,"₪3,800,000",מרים החשמונאית 9,6212-1032-6,76,דירה בבית קומות 3 -------
179,02/11/2020,"₪3,200,000",לואי מרשל 10,6212-1247-25,70,דירה בבית קומות 3 שלישית
180,01/11/2020,"₪5,265,000",אנטיגונוס 13,6212-597-1,80,דירה בבית קומות 4 חמישית
181,21/10/2020,"₪5,265,000",אנטיגונוס 11,6212-598-1,100,דירה בבית קומות 4 שישית
182,15/10/2020,"₪3,825,000",ברנדייס 9,6212-1148-4,85,דירה בבית קומות 3 ראשונה
183,15/10/2020,"₪5,200,000",פנקס 25,6212-928-2,111,דירה בבית קומות 4 ראשונה
184,11/10/2020,"₪5,387,000",דה האז 26,6212-926-9,66,דירה בבית קומות 2 שניה
185,30/08/2020,"₪2,275,000",יעקב דה-האז 12,6212-589-4,46,דירה בבית קומות 2 קרקע
186,16/08/2020,"₪6,100,000",אלעזר החורני 5,6212-544-1,99,דירה בבית קומות 3 ראשונה
187,04/08/2020,"₪8,800,000",פנקס 25,6212-928-1,155,דירה בבית קומות 6 תשיעית
188,04/08/2020,"₪2,800,000",פנקס 3,6212-967-16,40,דירה בבית קומות 2 שלישית
189,03/08/2020,"₪2,425,000",אנטיגונוס 9,6212-599-10,33,דירה בבית קומות 1.5 שניה
190,12/07/2020,"₪7,000,000",מרים החשמונאית 26,6212-1191-0,1,קומבינציה
191,09/07/2020,"₪7,950,000",יעקב דה-האז 3,6212-539-21,112,דירה בבית קומות 4 חמישית
192,08/07/2020,"₪3,930,000",דה האז 26,6212-926-15,84,דירה בבית קומות 4 שלישית
193,10/06/2020,"₪3,775,000",מרים החשמונאית 3,6212-1029-15,73,דירה בבית קומות 3 ראשונה
194,28/05/2020,"₪5,050,000",דה האז 26,6212-926-19,93,דירה בבית קומות 3 חמישית
195,23/04/2020,"₪1,700,000",דה האז 3,6212-539-11,59,דירה בבית קומות 3 ראשונה
196,16/01/2020,"₪3,500,000",דה האז 7,6212-563-12,67,דירה בבית קומות 2 שניה
197,30/12/2019,"₪2,550,000",אנטיגונוס 7,6212-600-13,40,דירה בבית קומות 2 שניה
198,29/12/2019,"₪5,705,000",דה האז 26,6212-926-21,105,דירה בבית קומות 4 רביעית
199,15/12/2019,"₪5,150,000",אריסטובול 10,6212-556-16,106,דירה בבית קומות 4 רביעית
200,12/12/2019,"₪3,100,000",יעקב דה-האז 6,6212-1040-2,66,דירה בבית קומות 2.5 קרקע
201,10/11/2019,"₪2,000,000",פנקס 15,6212-612-7,40,דירה בבית קומות 2 שניה
202,28/10/2019,"₪6,487,000",דה האז 26,6212-926-22,123,דירה בבית קומות 5 רביעית
203,23/10/2019,"₪8,330,000",אריסטובול 10,6212-556-17,160,דירה בבית קומות 5 רביעית
204,22/10/2019,"₪2,300,000",יעקב דה-האז 18,6212-592-7,36,דירה בבית קומות 1.5 ראשונה
205,22/10/2019,"₪2,385,000",אבן גבירול 176,6212-1015-22,65,דירה בבית קומות 3 קרקע
206,05/09/2019,"₪1,600,000",חוני המעגל 6,6212-991-33,63,דירה בבית קומות 3 ראשונה
207,13/08/2019,"₪3,600,000",אריסטובול 10,6212-556-18,69,דירה בבית קומות 3 רביעית
208,15/07/2019,"₪3,250,000",לואי מרשל 15,6212-562-4,66,דירה בבית קומות 3 ראשונה
209,04/07/2019,"₪2,460,000",אנטיגונוס 7,6212-600-5,39,דירה בבית קומות 2.5 קרקע
210,04/04/2019,"₪2,450,000",יהודה המכבי 16,6212-547-11,57,דירה בבית קומות 2 שלישית
211,25/03/2019,"₪2,300,000",חוני המעגל 9,6212-619-3,45,דירה בבית קומות 2 עמודים
212,04/03/2019,"₪6,300,000",אריסטובול 10,6212-556-19,124,דירה בבית קומות 5 רביעית
213,25/02/2019,"₪3,800,000",מרים החשמונאית 9,6212-1032-5,76,דירה בבית קומות 3 -----
214,12/02/2019,"₪3,575,000",יהודה המכבי 14,6212-545-7,86,דירה בבית קומות 3 שלישית
215,29/01/2019,"₪2,480,000",לואי מרשל 10,6212-1247-3,62,דירה בבית קומות 2 קרקע
216,10/01/2019,"₪4,100,000",יעקב דה-האז 3,6212-539-22,85,דירה בבית קומות 4 רביעית
217,05/12/2018,"₪3,232,000",אבן גבירול 176,6212-1015-5,66,דירה בבית קומות 3 ---
218,06/09/2018,"₪2,430,000",יהודה המכבי 14,6212-545-2,49,דירה בבית קומות 2 ראשונה
219,20/08/2018,"₪3,100,000",יעקב דה-האז 5,6212-564-4,62,דירה בבית קומות 2.5 ראשונה
220,19/08/2018,"₪5,990,000",מרים החשמונאית 8,6212-988-17,116,דירה בבית קומות 4 רביעית
221,13/08/2018,"₪1,990,000",יהודה המכבי 6,6212-584-1,31,דירה בבית קומות 1.5 ראשונה
222,19/07/2018,"₪2,300,000",לואי מרשל 14,6212-605-4,50,דירה בבית קומות 2 שניה
223,03/07/2018,"₪2,300,000",יעקב דה-האז 12,6212-589-3,47,דירה בבית קומות 2 קרקע
224,26/06/2018,"₪9,670,000",אריסטובול 3,6212-550-2,226,קוטג חד משפחתי 6 -----
225,11/06/2018,"₪2,900,000",חוני המעגל 9,6212-619-11,72,דירה בבית קומות 2.5 שלישית
226,28/05/2018,"₪1,275,000",יהודה המכבי 16,6212-547-9,40,דירה בבית קומות 3 שלישית
227,27/05/2018,"₪4,000,000",מרים החשמונאית 3,6212-1029-31,73,דירה בבית קומות 3.5 שלישית
228,17/05/2018,"₪3,200,000",לואי מרשל 8,6212-608-4,67,דירה בבית קומות 3 שניה
229,20/03/2018,"₪3,390,000",מרים החשמונאית 14,6212-987-15,71,דירה בבית קומות 3 שניה
