תאריך,גוש חלקה תת חלקה,תיאור,חדרים,קומה,שטח,מחיר
12.06.2023,7462-30-2,דירה בבית קומות,4,שלישית,112.7,"₪7,350,000.00 "
12.06.2023,6920-38-67,,5,שלישית,104,"₪9,000,000.00 "
11.06.2023,7226-50-14,דירה בבית קומות,3,ראשונה,64.82,"₪3,750,000.00 "
11.06.2023,6919-66-2,בית בודד,5,שניה,,"₪28,000,000.00 "
07.06.2023,6919-47-1,דירה בבית קומות,4,ראשונה,76,"₪6,250,000.00 "
01.06.2023,02/05/7453,דירה בבית קומות,4,ראשונה,75,"₪8,500,000.00 "
29.05.2023,7461-22-18,דירה בבית קומות,4,"שלישית, רביעית",102,"₪8,700,000.00 "
28.05.2023,6918-41-11,מחסנים,0,ראשונה,,"₪438,000.00 "
28.05.2023,7460-13-7,דירה בבית קומות,3,שניה,74,"₪4,970,000.00 "
28.05.2023,6933-136-21,דירה בבית קומות,4,קומה 5,117.7,"₪7,600,000.00 "
23.05.2023,7460-27-8,דירה בבית קומות,2,שניה,47,"₪3,900,000.00 "
22.05.2023,6937-29-7,דירה בבית קומות,3,ראשונה,67,"₪5,400,000.00 "
22.05.2023,7451-22-18,דירה בבית קומות,4,חמישית,118.55,"₪9,000,000.00 "
22.05.2023,6941-64-2,דירה בבית קומות,4,ראשונה,100,"₪9,000,000.00 "
22.05.2023,6937-32-9,דירה בבית קומות,4,רביעית,113,"₪9,700,000.00 "
19.05.2023,6911-144-10,דירה בבית קומות,1.5,שלישית,38,"₪1,000,000.00 "
18.05.2023,6911-108-5,דירה בבית קומות,4,ראשונה,76,"₪204,000.00 "
15.05.2023,6909-99-14,חניה,0,,,"₪625,000.00 "
15.05.2023,7430-23-8,דירה בבית קומות,3,ראשונה,53.2,"₪3,925,000.00 "
15.05.2023,6911-127-3,דירה בבית קומות,3,ראשונה,62,"₪4,260,000.00 "
14.05.2023,6911-127-2,,3,ראשונה,62,"₪2,296,962.00 "
14.05.2023,7437-33-9,דירה בבית קומות,3,שלישית,64.38,"₪4,000,000.00 "
14.05.2023,6937-67-58,דירה בבית קומות,5,ארבעים,,"₪26,500,000.00 "
12.05.2023,08/08/7446,דירה בבית קומות,2,שלישית,47,"₪3,085,000.00 "
11.05.2023,6918-30-8,חנות,0,קרקע,,"₪388,000.00 "
11.05.2023,7441-17-6,דירה בבית קומות,3,שניה,75.08,"₪5,300,000.00 "
09.05.2023,6911-61-5,דירה בבית קומות,3,ראשונה,60,"₪4,250,000.00 "
08.05.2023,6933-136-41,דירה בבית קומות,4,אח עשרה,122.1,"₪7,140,000.00 "
07.05.2023,6904-124-8,דירה בבית קומות,3,רביעית,60,"₪3,500,000.00 "
07.05.2023,7430-46-3,דירה בבית קומות,3,שניה,62,"₪3,945,000.00 "
07.05.2023,6941-70-4,דירה בבית קומות,3,שלישית,60,"₪5,000,000.00 "
07.05.2023,6910-42-4,דירה בבית קומות,5,ראשונה,150,"₪6,000,000.00 "
03.05.2023,6913-30-12,דירה בבית קומות,2,ראשונה,52.13,"₪2,380,000.00 "
03.05.2023,6907-15-19,דירה בבית קומות,1,שלישית,23,"₪1,410,000.00 "
01.05.2023,05/09/6918,קרקע למגורים,0,,54.7,"₪8,367,000.00 "
27.04.2023,7227-20-7,דירה בבית קומות,2,ראשונה,67.05,"₪2,890,000.00 "
24.04.2023,6913-19-6,דירה בבית קומות,3,שניה,109.79,"₪5,900,000.00 "
24.04.2023,6909-107-126,דירה בבית קומות,4,עשרים,46,"₪8,186,000.00 "
24.04.2023,6937-32-7,דירה בבית קומות,2,חמישית,60.4,"₪4,055,000.00 "
24.04.2023,10/03/7434,דירה בבית קומות,3,ראשונה,,"₪4,100,000.00 "
20.04.2023,6912-42-6,חניה,0,,46.52,"₪300,000.00 "
20.04.2023,6941-123-4,דירה בבית קומות,2,ראשונה,,"₪560,000.00 "
18.04.2023,01/16/6936,מחסנים,0,,49.67,"₪700,000.00 "
18.04.2023,02/06/6936,דירה בבית קומות,2,ראשונה,70,"₪3,200,000.00 "
18.04.2023,7435-19-3,דירה בבית קומות,3,רביעית,74,"₪6,000,000.00 "
17.04.2023,6919-51-10,דירה בבית קומות,3,ראשונה,63.5,"₪5,000,000.00 "
16.04.2023,7440-24-6,דירה בבית קומות,3,שניה,80,"₪1,900,000.00 "
13.04.2023,10/02/7431,דירה בבית קומות,3,ראשונה,58,"₪4,000,000.00 "
13.04.2023,6937-29-8,דירה בבית קומות,2,שלישית,48.3,"₪4,490,000.00 "
05.04.2023,7226-22-8,דירה בבית קומות,2,שניה,22.55,"₪3,575,000.00 "
04.04.2023,7226-73-4,חנות,0,קומה 0,119,"₪1,205,000.00 "
04.04.2023,7245-14-3,קרקע למגורים,0,,41.73,"₪5,023,200.00 "
03.04.2023,07/08/7429,דירה בבית קומות,2,ראשונה,62,"₪3,520,000.00 "
03.04.2023,05/09/7103,דירה בבית קומות,2,שניה,60,"₪4,050,000.00 "
03.04.2023,7444-30-22,דירה בבית קומות,3,שניה,0,"₪4,250,000.00 "
03.04.2023,05/01/6924,משרד,0,חמש עשרה,9500,"₪650,000,000.00 "
02.04.2023,6907-35-37,דירה בבית קומות,2,קומה 6,50,"₪4,490,000.00 "
02.04.2023,08/09/7439,דירת גן,3,ראשונה,79,"₪5,442,000.00 "
30.03.2023,02/06/7228,דירה בבית קומות,3,שלישית,84.62,"₪6,400,000.00 "
29.03.2023,6933-115-4,דירה בבית קומות,3,קומה 1,84.5,"₪7,300,000.00 "
28.03.2023,7226-92-2,דירה בבית קומות,4,שניה,78,"₪5,600,000.00 "
27.03.2023,6907-54-78,משרד,0,שישית,,"₪335,000.00 "
27.03.2023,06/05/6918,משרד,0,ראשונה,41.49,"₪1,700,000.00 "
26.03.2023,7226-42-2,דירה בבית קומות,2,ראשונה,41,"₪2,850,000.00 "
24.03.2023,6904-124-9,דירה בבית קומות,3,חמישית,72,"₪6,000,000.00 "
22.03.2023,03/11/6910,דירה בבית קומות,4,ראשונה,85,"₪2,970,000.00 "
22.03.2023,7460-13-6,דירה בבית קומות,3,ראשונה,60,"₪3,200,000.00 "
20.03.2023,6909-62-10,דירה בבית קומות,3,קרקע,86,"₪4,500,000.00 "
20.03.2023,12/01/6912,דירה בבית קומות,3,חמישית,85,"₪6,947,000.00 "
14.03.2023,6936-145-4,דירה בבית קומות,2,ראשונה,46.98,"₪615,000.00 "
14.03.2023,6913-6-124,דירה בבית קומות,2,רביעית,50,"₪3,900,000.00 "
13.03.2023,7451-34-10,משרד,0,קרקע,179.8,"₪5,000,000.00 "
10.03.2023,7429-82-5,דירה בבית קומות,3,שניה,64.85,"₪4,350,000.00 "
08.03.2023,7462-30-42,דירה בבית קומות,2.5,אחת עשרה,54,"₪4,000,000.00 "
07.03.2023,6909-66-3,דירה בבית קומות,3,ראשונה,73,"₪3,800,000.00 "
05.03.2023,6907-32-22,חנות,0,ראשונה,109,"₪3,510,000.00 "
02.03.2023,7442-16-43,דירה בבית קומות,2,שלישית,41.83,"₪2,600,000.00 "
28.02.2023,07/04/7451,דירה בבית קומות,3,קרקע,57.62,"₪3,550,000.00 "
27.02.2023,6918-30-17,דירה בבית קומות,4,שניה,78.9,"₪2,000,000.00 "
26.02.2023,7104-155-1,משרד,0,ראשונה,377,"₪918,000.00 "
26.02.2023,03/13/7453,דירה בבית קומות,4,שלישית,81,"₪4,750,000.00 "
